project title,Project Code (GAFSP),Project ID (World Bank),Project Symbol (FAO),Project Number (ADB),GRIPs ID (IFAD),AfDB,Reference Number (WFP),country,project status,funding,supervising entity,call year,Project amount,Commitment amount,environmental category,summary,,,,,,,,,,,,,,,,
Using the e-Granary Innovative Mobile Platform to Deliver Economic Services to Farmers in East Africa,,,,,2000001801,,,Rwanda,Active,Public,IFAD,2017,,1.5 million,agriculture,"Solution
When COVID-19 hit Uganda and Rwanda, some farmers were in a stronger position than others to cope because they had a digital safety net to cushion the pandemic’s negative impacts. Operational since July 2019 in Uganda and August 2019 in Rwanda, the E-Granary mobile platform delivers economic and financial services to farmers. The mobile communication and payment system is a virtual space for brokering commercial partnerships and contracts between farmers, buyers, and input dealers, while connecting farmers with financial services at low transaction costs. In 2020, the project received additional funding for a medium- to long-term response to the COVID-19 pandemic. These funds have help producer organizations and their farmers access certified inputs on time, particularly financial services, and help grow the number of local farmer mobilizers, critical in helping E-Granary cascade technology and services to farmers.",,,,,,,,,,,,,,,,
Increasing Access to Finance for Farmers’ Organizations in Bangladesh,,,GCP/BGD/064/GAF,,,,,Bangladesh,Active,Unknown,FAO,2018,,2.48 million,agriculture,"Solution
Bangladesh has a critical need to develop farmer organizations. With this project’s support, farmer organizations are better able to work with private sector companies and have stronger governance, financial management, negotiations, communications, and leadership systems, all for the benefit of their smallholder farmer members. Through this work, the project provided the Government of Bangladesh with a model for sustainable outreach to farmers and village-level organizational development that it can scale up. In 2020, the project received additional funding for a medium- to long-term response to the COVID-19 pandemic. With these funds, the project has strengthened its virtual call centers, mostly through remote support, as a resilience tool for producer organizations to better cushion potential future catastrophes.",,,,,,,,,,,,,,,,
Enhanced Resilience and Food and Nutrition Security in Kémo and Ouaka Districts (PARSANKO),PARSANKO,,,,,RDGC/AHAI/PGCL,,Central African Republic,Active,Public,"AfDB , FAO",2019,,15.4 million,agriculture,"Solution
Despite emerging from the most-violent conflict in its history, the Central African Republic’s poverty levels remain very high, with 75% of the population living below the international poverty line of US$1.90 per day in 2019. The agriculture sector remains the backbone of the economy, providing 75% of jobs and generating more than 50% of national wealth and 75% of food for consumption. Recurrent periods of insecurity and political crisis have had serious consequences, particularly in rural areas; many farmers have left their land, and others have lost access to agricultural inputs and agro-pastoral markets.
In response, PARSANKO will sustainably improve food security and nutrition among vulnerable populations and rural communities in the districts of Kémo and Ouaka through activities and approaches aimed at solidifying resilience, livelihoods, and incomes.",,,,,,,,,,,,,,,,
Strengthening smallholders and women’s livelihoods and resilience in the N'ZI region,,,,,,RDGW/AHAI/PGCL ,,Côte d’Ivoire,Active,Public,"AfDB , FAO",2019,,12 million,agriculture,"Challenge
Hunger and malnutrition are on the rise in Côte d’Ivoire as the result of conflict, climate change, and lack of investment in the agricultural sector. As of 2019, more than 10 million people, or about 46.3% of the population and 55.4% in rural areas, live below the poverty line. The crisis has significantly affected livelihoods, constraining small-scale farmers’ ability to produce enough food. This situation is strongly felt in the N'zi region, targeted by the project for its socio-economic and environmental fragility. The region has a high prevalence of food and nutrition insecurity and high vulnerability of family farms to climate change and environmental degradation.
Solution
The project’s overall objective is to improve the income and food security of poor people in the N’zi region and build their resilience to climate change. The project promotes sustainable and resilient agri-food systems for family farms, focusing on scaling up resilient productivity-enhancing technologies for water and soil fertility management and land use systems, and rural entrepreneurship for women and youth, focusing on youth-led agricultural services and facilitating market access through inclusive and gender-sensitive value chain development and business models. The project also facilitates access to rural finance and support to empower professional women, while strengthening mechanisms for monitoring climate, food, and nutrition vulnerability and for early warning and prevention systems.",,,,,,,,,,,,,,,,
Resilience and Nutrition in Great Lakes Region (RENUGL),RENUGL,,,,,,,Democratic Republic of Congo,Under Preperation,Public,"FAO , World Bank",2019,,15 million,agriculture,"Challenge
More than half of the DRC’s population is affected by poverty. Between 2017 and 2018, the number of people in food crisis increased from 7.7 million to 15.6 million. In 2018, the situation deteriorated, with more than 3.7 million children suffering from acute malnutrition, including 1.7 million children with severe acute malnutrition. South Kivu is the most-affected region, with a dramatic 30% rate of global acute malnutrition. The causes of malnutrition are recurrent conflict and insecurity; inadequate dietary intake, especially among women of childbearing age and children; lack of production and access to nutritious and diversified food throughout the year; extremely low income; high social vulnerability of women and girls; recurrence of diseases; poor health, hygiene, and access to water; and poor childcare practices.
Solution
Within this context, RENUGL aims to sustainably improve the nutrition and resilience of the most-vulnerable populations in the South Kivu-Tanganyika corridor through initiatives that strengthen social cohesion, community empowerment, livelihoods, and entrepreneurship and develop nutrition-sensitive agriculture activities.",,,,,,,,,,,,,,,,
Small Islands Food and Water Project (SIFWaP),SIFWaP,,,,,,,Federated States of Micronesia,Under Preperation,Public,"FAO , IFAD",2019,,12 million,agriculture,"

Challenge
The Federated States of Micronesia, Kiribati, the Republic of the Marshall Islands, and Tuvalu are among the smallest, most-isolated, and most-fragile of Small Islands Developing States. In recent decades, cheap non-nutritious imports, such as rice, noodles, bread, and sugar, have become readily available and slowly replaced traditional crops, which are more difficult to grow and cook. As a result, populations have become more reliant on these imports and traditional diets have changed, leading to severe deterioration in health and nutrition statuses. In particular, the prevalence of nutrition disorders is escalating, with high levels of stunting in children, overweight/obesity in adults, and non-communicable diseases, including hypertension and diabetes.
Solution
Against this backdrop, SIFWaP seeks to improve food, nutrition, and water security and livelihood opportunities in the small island communities by investing in community-, group-, and household-level projects. The project will sensitize communities to diagnose, prioritize, and implement activities that improve agricultural systems and ensure the production and availability of local, nutritious foods; mainstream climate change adaptation measures into agricultural production activities to increase climate resilience; and develop an enabling policy framework to address food, nutrition, and water security.  

",,,,,,,,,,,,,,,,
Smallholder Agriculture Development for Food and Nutrition Security (SADFONS),SADFONS,,,,,ADB/BD/WP/2021/79/,,Liberia,Active,Public,"AfDB , FAO",2019,9.08 million,8.2 million,agriculture,"Solution
SADFONS aims to improve food and nutrition security and reduce poverty among the targeted rural population in the counties of Grand Gedeh, Grand Kru, River Gee, Maryland, Bomi, Bong, Montserrado, Sinoe, Grand Bassa, River Cess, and Grand Cape Mount. Focusing on food crops, such as rice, cassava, and vegetables, the project supports smallholder farmers with value addition, market access, and improved income through increased agricultural productivity and production and strengthens the capacities of government institutions, farmers, and producer organizations. The project objectives fully align with and support the Liberia Agricultural Sector Investment Program II for 2018–2022 (LASIP II) development priorities.",,,,,,,,,,,,,,,,
Food Security Response and Resilience Project,,P176129,,,,,,Republic of Yemen,Under Preperation,Public,World Bank,2019,,20 million,agriculture,"Solution
In recent years, Yemen has experienced severe political, societal, economic, and security shocks. Access to basic services, such as food and economic livelihoods, are still very limited. Yemen imports up to 90% of its food, despite the fact that 70% of its population lives in rural areas and depends on agriculture for their livelihoods. Further, Yemen inordinately suffers from the detrimental effects of climate change and communities face recurring cycles of destructive droughts and flooding. Building off the ongoing SAPREP project, SAPREP+ aims to reduce poverty and food insecurity in the seven governorates that are most vulnerable to and worst hit by Yemen’s ongoing humanitarian crisis, particularly among women and marginalized groups, through sustainable improvements in livelihoods, nutrition, and resilience of rural households in target communities, achieved by increasing agricultural productivity, market access, and smallholder farmers’ incomes and by promoting better diet and nutrition practices.",,,,,,,,,,,,,,,,
The Gambia Agriculture and Food Security Project  ,,,,,,,,The Gambia,Active,Public,AfDB,2019,,16 million,agriculture,"

Solution
This project aims to structure food demand to assure institutional markets and improve smallholder productivity, thereby increasing food and nutrition security and household incomes, particularly for vulnerable household. The project will do this by increasing agriculture production and productivity, post-harvest management and commercialization, and resilience for identified food chains; linking smallholders to assured institutional markets for example home-grown school feeding; boosting private sector participation; and promoting social protection and food safety net programs.

",,,,,,,,,,,,,,,,
Rural Productivity and Connectivity Program with a Territorial  Approach ,,,,,,,,Haiti,Active,Public,"FAO , IDB",2019,,14 million,agriculture,"Challenge
Agriculture plays a dominant role in the Haitian economy. In 2019, it was contributing about 22% of GDP, accounting for around 50% of overall employment, 66% of employment in rural areas, and 75% of employment in low income households. In rural areas, 88% of individuals live below the poverty level and more than half earn less than $1 a day. Over one million families own mainly small-scale subsistence farms, with an average farm size less than one hectare. The main agricultural crops include maize, tubers, mangoes, coffee, avocados, citrus, rice, sorghum, beans, cocoa; of which mangoes, coffee, cocoa, together with essential oils, represent the main Haitian exports. Producers typically use outdated and ineffective technologies in terms of planting materials, soil conservation or pest management techniques, and hardware is limited to hand tools – resulting in low farm income levels, land degradation, increased vulnerability of farmers to natural hazards, and also food insecurity.
Solution
The project aims to increase agricultural income and food security for smallholder farmers in select areas of Haiti by increasing agricultural productivity and improving the use of natural resources through the adoption of sustainable production and post-harvest and processing technologies and through greater access to complementary value chain services. This will enable a more efficient use of resources, will provide higher outputs, and when paired with improved capacities to access markets, will contribute to increase agricultural income. Higher food production and income together with improved knowledge on nutritious diets and other best practices will facilitate households making consumption decisions on goods and services that improve food and nutrition security.",,,,,,,,,,,,,,,,
Rural Productivity and Connectivity Program with a Territorial Approach (PAPAIR),PAPAIR,,,,,,,Haiti,Active,Public,"FAO , IDB",2019,,not found,agriculture,"Challenge
In Haiti, agriculture contributes about 22% of GDP, accounting for around 50% of overall employment, 66% of employment in rural areas, and 75% of employment in low-income households. Agri-producers typically use outdated and ineffective planting materials and soil conservation and pest management techniques, and hardware is limited to hand tools, resulting in low farm income levels, land degradation, increased vulnerability of farmers to natural hazards, and food insecurity.
Solution
The project aims to increase agricultural income and food security for smallholder farmers in select areas of Haiti by increasing agricultural productivity and improving natural resources use through the adoption of sustainable production and post-harvest and processing technologies and through greater access to complementary value chain services. This will enable more efficient use of resources, providing higher outputs. When paired with improved capacities to access markets, this support will contribute to increased agricultural income. Higher food production and income together with improved knowledge of nutritious diets and other best practices will facilitate households in making consumption decisions on goods and services that improve food and nutrition security.",,,,,,,,,,,,,,,,
Accelerating Economic and Social Inclusion of Smallholder Farmers in Climatic Hotspots through Strong Producers’ Organizations (ACCESS),ACCESS,,,,,,,Bangladesh,Under Preperation,Public,FAO,2021,,3.26 million,agriculture,"Solution
In Bangladesh, a $3.26 million grant to Sara Bangla Krishak Society (SBKS) will improve the livelihoods of smallholder farmers in climatic hotspots and strengthen their resilience to public health and climate-induced crises in targeted areas. SBKS, in collaboration with FAO, intends to scale up and build on the successful experience of the GAFSP Missing Middle Initiative (MMI) in Bangladesh to strengthen producers’ organizations (POs) and ensure their access to markets, and access to finance. The new project will broaden the farming community SBKS by supporting the establishment of new POs in three of the most climate change affected areas of Bangladesh with potential for the growth of the agri-business sector. These PO are expected to become commercially viable actors in their respective value chains as the project will support in building their institutional capacity and governance processes and will guide their integration into their local value chains.  The project will also aim to support the POs’ access to community-based financing through the development of revolving loan funds, as well as linkages with external financial providers to crowd in additional finance. As a result, the POs will be able to make investments to uplift their families and communities, helping to recover from shocks brought about by the pandemic and to be more resilient to potential future climate-induced and public health shocks. 
Recognizing the strength of women leaders within the current SBKS network, it will promote women have opportunities for leadership in their communities. The new project will also be an opportunity for SBKS to continue building its capacity to serve smallholder farmers in Bangladesh, in partnership with the private sector and government. The project will build on lessons learned under the MMI experience so that it can effectively partner with and empower more farmers throughout the country, to not only respond to the impact of the COVID-19 pandemic, but to potential future shocks, particularly related to climate change and public health.",,,,,,,,,,,,,,,,
Diversified Resilient Agriculture for Improved Food and Nutrition Security (DRAIFNS),DRAIFNS,,,,,,,Bangladesh,Under Preperation,Public,"FAO , IFAD",2021,,20 million,agriculture,"Solution
In Bangladesh, GAFSP funds totaling $20 million will help improve the food security of smallholder farmers and promote sustainable, inclusive, climate-resilient, and nutrition-sensitive agriculture practices. The project aims to contribute to the public investment priority of achieving food security and promoting sustainable, inclusive, climate resilient, and nutrition-sensitive agriculture in Bangladesh, and responding to the government’s strategy of restoring and developing the agricultural supply chain in aftermath of the COVID-19 crisis by minimizing the impact of COVID-19 for smooth agriculture growth and ensuring food security after the crisis.  
This proposed project will be implemented over four years in line with the government’s agriculture and food security development agenda as described in the Eighth Five-Year Plan (07/2020-06/2025). It will invest in restoring and developing agriculture productivity and diversification capacity as immediate reactions to the COVID-19 crisis and subsequently invest in strengthening the basis for a more sustainable and nutrition-sensitive food system after the crisis, with a focus on “building back better”. The project implementation will follow the Government DPP for approved donor-assisted project design reports; it will target the vulnerable men and women living in three climate hotspots identified in the Government’s Delta Plan, by taking the farmer groups as entry points to reach out to the vulnerable women, youth, ethnic groups among other target segments. Detailed design will elaborate a community-driven development strategy that operates on the principles of transparency, participation accountability and enhanced local capacity, making optimal use of the in-place mechanisms and instruments such as multi-stakeholder platforms, farm groups’ capacity building, focus training for women, and AWPB process. Adequate human and financial resources will be allocated to support the capacity-building needs of target groups. 
As a result, the project will help increase the availability of diversified, nutritious, safe and demand-driven agri-foods by increasing agriculture productivity and sustainable production of crops, farmers’ capability and income, efficient technology and technical services, and sustainable management of natural resources, persons receiving services promoted or supported by the project, beneficiaries of Climate-Smart Agriculture (CSA). The project will also enable an agribusiness environment for public-private partnership, with improved post-harvest management and efficiency of market access, increased volume of agricultural production processed by post-harvest facilities, and increased sales and profit.",,,,,,,,,,,,,,,,
Building Resilient Commercial Smallholder Agriculture,,,,,,,,Bhutan,Under Preperation,Public,"IFAD , WFP",2021,,13 million,agriculture,"Solution
In Bhutan, $13 million in funding will commercialize the value chains of select agriculture commodities to contribute to post-COVID-19 economic recovery and the development of resilient food systems.  
This project will build upon existing programs in Bhutan that have successfully supported the production and commercialization of agriculture. Including the GAFSP-supported Food Security and Agriculture Productivity Project (FSAPP). The project will directly address systemic barriers in the agriculture sector; and post-COVID challenges and priorities identified in Bhutan’s Renewable Natural Resources (RNR) Strategy, and food self-sufficiency policy. The project will work through an inclusive value chain development approach to address the gaps between producers, traders and consumers that are posing a challenge to the sustainability and resilience of Bhutan’s food and farming systems. The interventions will focus on commercialization and diversification of farm systems; strengthening of existing value chains (VCs) and development of new ones; and financing enabling small-scale infrastructure (on-farm water and soil conservation, aggregation centers, cold storage, milk chilling centers etc.). Additionally, the project will also support post-harvest processing and ensuring products meet internationally recognized food standards; capacity building and support to youth, cooperatives and other producer organizations for climate resilience agriculture practices, the establishment of youth enterprises for provision of organic inputs (biochar, soil stimulants, bio-fertilizer and bio-pesticides); and facilitating business linkages between producers, buyers, financiers, and local public stakeholders through multi-stakeholder platforms (MSP) and business interactions meetings (B2B) to meet local, national, regional and global consumer demand. 
The project aims to boost equitable employment and income-generating opportunities for smallholder women, men and youths through capacity building and investment support to small-holder farmers on production, marketing, and better access to services for engaging in profitable value chains as vegetables, dairy, livestock, poultry and high-value crops. In doing so, the project will seek to stimulate post-COVID19 employment opportunities for women and youth, the adoption of climate resilient and market-oriented nutritious food products and facilitate inward investment for the production and marketing of high-quality and high-value home-grown Bhutanese agricultural products. Lessons from the FSAPP (the first GAFSP project) and good practices from CARLEP will be built into the proposed project for increasing impact.",,,,,,,,,,,,,,,,
