Project URL,Project Code,Title,Project General Description,Project Appraisal Report Link,Commitment in U.A,Country,Starting Date,Status,Source of Financing,Sector,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-GN-A00-009,P-GN-A00-009,Guinea - Emergency Food Production Project (PPAU),"The COVID-19 crisis and the war in Ukraine have had negative impacts on Guinea’s agricultural sector, resulting in skyrocketing input and staple food prices. To mitigate the effects of price increases, the Government prepared a support plan for the 2022 crop year which involves the procurement and distribution of inputs (rice and maize seeds and fertilizers) to farmers. This operation will contribute to implementing the Government support plan by procuring and distributing: 2,000 tons certified seeds of climate-resilient varieties of rice; 750 tons of maize; 50 tons of hybrid rice; 10 tons of hybrid maize; 20,000 cassava cuttings; 3,200,000 seedlings of yams; 500 tons of potato; 4,845 tons of complex N-P-K fertilizer; 3,185 tons of urea and 3,570 tons of organic fertilizer. This project will generate additional production estimated at 71,429 tons of rice, 57,000 tons of maize, 12,000 tons of cassava, 7,200 tons of yam and 6,250 tons of potato.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fguinea_-_emergency_food_production_ppau_aefpf_-_project_appraisal_report.pdf#page=17&zoom=auto,-14,785",17660000,Guinea,44883,Approved,African Development Fund,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-Z1-AAG-043,P-Z1-AAG-043,Multinational - Dal Group Company Limited (Phase II),The  project  comprises  phase-II  of  DAL  Group’s  long-term  investment  and  regional expansion  program with  a  focus  on its  integrated  food  and  agriculture  operations  and growing the company’s regional agro-industrial network.,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https://www.afdb.org/sites/default/files/documents/projects-and-operations/multinational_-_dal_group_co._ltd_phase-ii_-_project_summary_note.pdf#page=1&zoom=auto,-13,848",76054881.2,Multinational,44881,Approved,African Development Bank,Agriculture and Rural Development,Non Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-EG-AAC-027,P-EG-AAC-027,Egypt - Water Recycling in Agriculture Project - Gabel el Asfer Stage III - Phase A & B,"Egypt’s development strategy is built around the “Sustainable Development Strategy: 2030 Vision”, the Government Action Program “Egypt Takes Off”, and the recent Cabinet’s comprehensive reform program. The vision is being implemented through five-years action plans. The GoE is launching its second phase of “Egypt Takes Off” for 2023-2027. This new program builds on the previous milestones achieved by the 2018-2022 program which has put the foundation for a successful development trajectory for the Egyptian economy. The top priorities of the GoE in its new program 2023-2027 are: (i) promoting green economy and achieving water, food and energy security; (ii) increasing investment in health and education sectors and (iii) introducing new regulatory reforms aiming to facilitate the engagement of the private sector into the economic development process of Egypt. In order to position Egypt for a swift and sustainable recovery from the Covid-19 crisis, the GoE announced in May 2021 a second phase of the program namely the “National Structural Reforms Program (NSRP)”.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fegypt_-_water_recycling_for_agriculture_-_gabal_el_asfar_wastewater_treatment_plant_-_stage_iii_-_project_appraisal_report.pdf#page=7&zoom=auto,-13,221",63247606.47,Egypt,44874,Approved,African Development Bank,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-GM-A00-007,P-GM-A00-007,Gambia - Incentive-Based Risk Sharing System for Agricultural Lending (GAMIRSAL) Establishment Project,"Access to finance is one of the most important challenges hampering the progress of agricultural development in the Gambia. Most  of the  population in  the  agricultural  sector can only access to  the informal financing, which probes not to  be sustainable,  and  much  less  capable  of addressing all the needs of agribusinesses .So far, the technical and financial partners’ interventions to enhance access to finance  remained mainly in  the  form  of  matching grant, which isa one-off  grant,  and  therefore  not  a sustainable source of financing.8.The rationale for the Bank’s involvement in the proposed project rests on its alignment with the current top priority  areas  of  intervention  of both  the Bank  and The Gambia, as outlined  above. The GAMIRSAL Establishment Project would address a number of market failures, including: i) difficulties for actors  along  the agriculture  value  chains  to  access  suitable  financial  services  and  products,  due  to lack of satisfactory collaterals and risk mitigating instruments as well as prohibitive borrowing cost; ii) reluctance  of  FIs  to  finance  agriculture  despite their  high  liquidity, due to  their  lack  of  knowledge  of the agricultural sector, the agriculture perceived and inherent risks including climate risks and the lack of  agriculture  tailor-made  financial  products;  iii)  limited  capacity  of  actors  along  agriculture  value chains to develop bankable business plans and efficiently manage credit and climate change risk. Also, the project fits well into the new policy paradigm for agricultural development promoted by the Bank and the Government, which  aims  at  transforming  agriculture, through the  Gambia  Agriculture Transformation Program.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fgambia_-_incentive-based_risk_sharing_system_for_agricultural_lending_gamirsal_establishment_project_-_project_appraisal_report_0.pdf#page=1&zoom=auto,-13,848",5000000,Gambia,44873,Approved,African Development Fund,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-Z1-AA0-149,P-Z1-AA0-149,Burundi - Strengthening Emergency Preparedness and Response to Food Crisis,"This intervention concerns the strengthening Emergency Preparedness and Response to Food Crisis in Burundi, Comoros, Somalia and South Sudan. It aims to increase agricultural production, productivity and resilience of agricultural production systems in target countries to mitigate risks in the short and medium terms aggravated by the war in Ukraine. This will boost the local production of cereals and oil grains as the most effective and efficient way to build the resilience of Africa’s food systems to respond to these circumstances and mitigate risks to supply in the short to medium term. The proposed project will complement the ongoing AEFPF projects in Burundi, Comoros, Somalia, and South Sudan by supporting national institutions to scale up the production of early generation seeds for priority food and fodder crops and building institutional capacity for early warning and anticipatory actions. The project will be implemented through three (3) components: (i) Scale up production of early generation seeds; (ii) Expand and integrate digital platforms on early warning and anticipatory actions; and (iii) Institutional strengthening and Project coordination and management.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fmultinational_burundi_comoros_somalia_and_south_sudan_-_strengthening_emergency_preparedness_and_response_to_food_crisis_-_project_appraisal_report.pdf#page=1&zoom=auto,-13,842",1950000,Multinational,44873,Approved,Transition Support Facility,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-Z1-AA0-157,P-Z1-AA0-157,South Sudan - Strengthening Emergency Preparedness and Response to Food Crisis,"This intervention concerns the strengthening Emergency Preparedness and Response to Food Crisis in Burundi, Comoros, Somalia and South Sudan. It aims to increase agricultural production, productivity and resilience of agricultural production systems in target countries to mitigate risks in the short and medium terms aggravated by the war in Ukraine. This will boost the local production of cereals and oil grains as the most effective and efficient way to build the resilience of Africa’s food systems to respond to these circumstances and mitigate risks to supply in the short to medium term. The proposed project will complement the ongoing AEFPF projects in Burundi, Comoros, Somalia, and South Sudan by supporting national institutions to scale up the production of early generation seeds for priority food and fodder crops and building institutional capacity for early warning and anticipatory actions. The project will be implemented through three (3) components: (i) Scale up production of early generation seeds; (ii) Expand and integrate digital platforms on early warning and anticipatory actions; and (iii) Institutional strengthening and Project coordination and management.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fmultinational_burundi_comoros_somalia_and_south_sudan_-_strengthening_emergency_preparedness_and_response_to_food_crisis_-_project_appraisal_report.pdf#page=1&zoom=auto,-13,843",2050000,Multinational,44873,Approved,Transition Support Facility,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-Z1-AA0-155,P-Z1-AA0-155,Comoros - Strengthening Emergency Preparedness and Response to Food Crisis,"This intervention concerns the strengthening Emergency Preparedness and Response to Food Crisis in Burundi, Comoros, Somalia and South Sudan. It aims to increase agricultural production, productivity and resilience of agricultural production systems in target countries to mitigate risks in the short and medium terms aggravated by the war in Ukraine. This will boost the local production of cereals and oil grains as the most effective and efficient way to build the resilience of Africa’s food systems to respond to these circumstances and mitigate risks to supply in the short to medium term. The proposed project will complement the ongoing AEFPF projects in Burundi, Comoros, Somalia, and South Sudan by supporting national institutions to scale up the production of early generation seeds for priority food and fodder crops and building institutional capacity for early warning and anticipatory actions. The project will be implemented through three (3) components: (i) Scale up production of early generation seeds; (ii) Expand and integrate digital platforms on early warning and anticipatory actions; and (iii) Institutional strengthening and Project coordination and management.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fmultinational_burundi_comoros_somalia_and_south_sudan_-_strengthening_emergency_preparedness_and_response_to_food_crisis_-_project_appraisal_report.pdf#page=1&zoom=auto,-13,842",1950000,Multinational,44873,Approved,Transition Support Facility,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-SN-A00-023,P-SN-A00-023,"Senegal - Project to Mitigate the Impact of COVID-19 on Food Security in the Louga, Matam and Kaffrine Regions","The Food Security Support Project in the Louga, Matam and Kaffrine Regions (PASA/LMK), which started in 2014, has achieved appreciable results in economic, environmental and social terms at its various intervention sites thanks to the hydro-agricultural infrastructure set up in close collaboration with the beneficiary rural communities. The project has facilitated access to diversified agricultural and pastoral infrastructure (2,450 ha of lowland rice fields, 320 ha of modern agricultural farms, 18 pastoral boreholes, etc.), as well as to adapted technologies, services and training for about 18,628 small producers, women and young people, and their organisations. It has also raised the hopes of the population faced with the problems of climate change. The grant awarded by the Global Agriculture and Food Security Programme (GAFSP) aims to consolidate the gains of PASA/LMK by providing specific and targeted support to more than 20,128 farmers and stockbreeders, 1,500 of whom are specifically targeted by infrastructure rehabilitation and training activities that would enable them to cope with the impacts of the COVID-19 pandemic and the recent negative fallout from the war in Ukraine.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fsenegal_-_impact_of_covid_19_on_food_security_in_the_louga_gafsp_-_project_appraisal_report.pdf#page=1&zoom=auto,-13,848",3363401.63,Senegal,44872,Approved,Global Agriculture and Food Security Program,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-MR-AA0-016,P-MR-AA0-016,Mauritania - Emergency Assistance Project for Flood Victims in the Tagant and Valley Regions,"Mauritania is a country highly exposed to climatic risks with extreme variability marked by recurrent droughts and also with episodic alternation of intense rainfall leading to floods. The wet season is relatively short, from July to September, and is concentrated in certain seasons, such as this year's, with abundant rainfall. Climate change is severely impacting Mauritania and increasing its vulnerability. Rainfall is becoming erratic and unpredictable. After the droughts, the rains have become more important from year to year and in recent years, Mauritania has faced devastating floods (Tintane in 2008, Rosso in 2009, Nouakchott in 2014, Guidimakha 2019, etc.).",,751405.13,Mauritania,44869,Approved,Special Relief Funds,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-SN-A00-015,P-SN-A00-015,Senegal - Centre Agro-Industrial Processing Zone Project,"The project “Centre Agro-Industrial Processing Zone” is designed to contribute to the reduction of food insecurity in rural areas, the reduction of food imports and export growth. The project will, in particular, target farmers and the private sector (including SMEs/SMIs) likely to invest in agricultural product processing and the provision of services. It will serve as a multi-subsector platform for the mainstreaming of technologies, equipment and services in favour of OPAs and SME/SMI based on a value chain approach and will create an attractive environment conducive to the growth of private investment, in particular, for agricultural product processing. The main expected outcomes of the PZTA-Centre project during Phase 1 (2023-2027) are as follows: a) The processing of at least 400,000 tonnes of groundnut, 100,000 tonnes of cereals and 50,000 tonnes of salt produced in the regions covered over five years; b) The creation/consolidation of 129,500 direct jobs and 208,800 indirect jobs, i.e. a total of 338,300 people, about 52% of whom will be women; c) Mobilisation of over CFAF 46 billion in private investment by the 37 projects structured during the development accelerator lab in key agro-industrial sub-sectors (groundnut, cereals, salt and others); and d) The generation of at least CFAF 15.2 billion in tax revenue for the Senegalese government, a 3.3% increase in exports and 5.2% reduction in the trade balance.","https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fsenegal_-_centre_agro-industrial_processing_zone_project_-_project_appraisal_report.pdf#page=1&zoom=auto,-13,842",50189790.01,Senegal,44860,Approved,African Development Bank,Agriculture and Rural Development,Sovereign
https://projectsportal.afdb.org/dataportal/VProject/show/P-MU-A00-002,P-MU-A00-002,Mauritius- Development of the Mauritius Special Agro Industrial Processing Zone Project - Additional financing,,,50000,Mauritius,44855,Approved,Middle Income Countries Fund,Agriculture and Rural Development,Sovereign
