ID,Title,Country,,Type,Status,,Approval Date,Committment Amount,,Sector,Subsector,Category,Indigenous Peoples Category,Category,Responsible ADB Department,Executing Agencies,Responsible ADB Officer,Summary
52328-002,Maharashtra Rural Connectivity Improvement Project - Additional Financing,India,Sovereign,Loan,Active,4097,8/6/2021,"300,000,000.00",Maharashtra,"Agriculture, natural resources and rural development",Rural market infrastructure,B,C,C,South Asia Department,Maharashtra Rural Road Development Association,"Nishimura, Masahiro",Maharashtra Rural Connectivity Improvement Project (Additional Financing) is programmed as a 2022 firm project for $150 million in ADB's country operations business plan 2020-2022 for India. The Government of India requested to advance the loan to 2020 and increase the amount to $300 million during the tripartite portfolio review meeting and the ensuing reconnaissance mission in October 2019.
53022-001,Landslide Risk Management Sector Project,Kyrgyz Republic,Sovereign,Grant | Loan,Approved,0793 | 4085,7/15/2021,"35,000,000.00",Nation-wide,"Agriculture, natural resources and rural development",Land-based natural resources management,B,C,B,Central and West Asia Department,Ministry of Emergency Situations,"Radstake, Frank","This project is ADB's first integrated preemptive landslide risk reduction investment to safeguard rural communities in the Kyrgyz Republic. This innovative project will embed international best practices and advanced technologies for improved risk reduction and monitoring. It will combine engineering and nature-based solutions with community-based planning and capacity building for sustainable long-term landslide safety. The project will reduce the risk to communities and infrastructure from landslide events by: (i) implementing landslide mitigation engineering measures, (ii) improving landslide monitoring systems, and (iii) strengthening capacity for landslide risk management.
The project is aligned with the following impacts: (i) human and material loss from climate- and geophysical-related disasters reduced, and (ii) level of protection of the population and territories from emergency situations increased for sustainable development. The project will have the following outcome: vulnerability and exposure of communities and infrastructure to landslide events reduced.
"
53038-001,Climate-Resilient and Sustainable Livestock Development Project,Mongolia,Sovereign,Loan,Approved,4071 | 4072,6/1/2021,"30,000,000.00",Nation-wide,"Agriculture, natural resources and rural development",Livestock,B,C,B,East Asia Department,"Ministry of Food, Agriculture, and Light Industry (MOFALI)","Enkhbold, Enerelt","The Government of Mongolia, during the country programming mission held in Ulaanbaatar in April 2018, requested the Asian Development Bank to provide lending support to prepare the Climate-Resilient and Sustainable Livestock Development Project. The project is included in ADB's country operations business plan for Mongolia for 2019 2021."
53053-001,Henan Xichuan Integrated Ecological Protection and Environmental Improvement Project,"China, People's Republic of",Sovereign,Loan,Active,4070,5/31/2021,"200,000,000.00","Nation-wide, Xichuan","Agriculture, natural resources and rural development",Irrigation | Land-based natural resources management | Rural flood protection | Rural sanitation | Rural solid waste management | Water-based natural resources management,B,C,B,East Asia Department,Xichuan County Government,"Yang, Xiaoyan","The proposed project will promote environmental improvements and green development in ecologically sensitive rural areas by (i) building the capacity of the Xichuan County Government (XCG) in environmental planning and management; (ii) promoting soil and water conservation through the use of high-level technology, including remote sensing, smart drip irrigation, and landscape-based rainfall runoff harvesting; and (iii) improving rural waste management and integrated urban rural water supply systems. The project will (i) play a demonstrative role for rural vitalization; (ii) promote regional public goods by preserving natural resources and reversing the negative impacts of environmental pollution; and (iii) facilitate recovery in the project area from the economic impacts of the coronavirus disease (COVID-19) through inclusive rural economic development."
53050-001,Hunan Xiangxi Rural Environmental Improvement and Green Development Project,"China, People's Republic of",Sovereign,Loan,Active,4046,1/25/2021,"200,000,000.00","Nation-wide, Xiangxi Tujiazu Miaozu Zizhizhou","Agriculture, natural resources and rural development","Agricultural production | Agriculture research and application | Agro-industry, marketing, and trade | Forestry | Rural sanitation | Rural solid waste management",B,B,B,East Asia Department,Xiangxi Tujia & Miao Autonomous Prefectural Gov't,"Kimura, Shingo","The project will demonstrate environmental improvement and green development in rural areas, by (i) improving rural waste and sanitation management facilities and services with innovative technologies and arrangements; (ii) developing local featured agricultural and forestry products; and (iii) adding values to agricultural and forestry products through improvement of value chains and integration with tourism. The project is envisaged to (i) play a demonstrative role for rural vitalization; (ii) promote regional public goods by reversing the negative impacts of pollution; (iii) reduce the risk of future epidemics, which is strongly required after the pandemic of coronavirus disease (COVID-19); and (iv) promote recovery from COVID-19 through inclusive rural economic development."
52256-007,Naryn Program Readiness,Kyrgyz Republic,Sovereign,Grant,Active,0783,12/11/2020,"2,500,000.00",,"Agriculture, natural resources and rural development",Rural sanitation | Rural water supply services,B,C,B,Central and West Asia Department,"Department of Drinking Water Supply and Sewerage Development under the State Agency of Architecture, Construction, Housing and Communal Services under the Cabinet of Ministers of the Kyrgyz Republic","Petrone, Massimo","Activity 2 will support ADBs ongoing Naryn Rural Water Supply and Sanitation Development Program (the Naryn Program), which uses the results-based lending (RBL) modality, in the following areas: (i) component 1: recruitment of the independent verification agent (IVA) for the Naryn Program to validate the disbursement linked indicators (DLIs), and (ii) component 2: capacity development of the Naryn Programs executing and implementing agencies to support the overall program implementation and to achieve the program results framework. A consulting firm will be recruited for the IVA, while individual consultants will be engaged for the component 2 (implementation support to the Naryn Program). Activity 2 will also finance the consulting services of an independent external auditor to carry out the Naryn Program audit.
The proposed SEFF subgrant will allow the government to ring-fence resources for strategic service improvements and increase the likelihood to achieve the Naryn Program DLIs, including the financing of the IVA for the Naryn Programs results.
"
53189-001,"Himachal Pradesh Subtropical Horticulture, Irrigation, and Value Addition Readiness Project",India,Sovereign,Loan,Active,6036,12/8/2020,"10,000,000.00","Bilaspur, Hamirpur, Kangra, Mandi","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,South Asia Department,"Department of Horticulture, Government of Himachal Pradesh","Kim, Sunae","This Project Readiness Financing (PRF) will support the State of Himachal Pradesh with preparing the project and ensuring implementation readiness, thereby facilitating the timely and cost-effective achievement of the ensuing project's outcomes and outputs. To achieve high level of project readiness of the ensuing loan, the PRF will (i) support project preparation, detailed design activities, and advance procurement actions; (ii) pilot activities to demonstrate a new model of subtropical horticulture production technology, marketing and irrigation development systems to the state, which will then be scaled up under the ensuing loan; and (iii) capacity building of the executing and implementing agencies which have not implemented projects with ADB, for a smooth transition from preparation to implementation. The PRF's pilot activities will comprise new irrigation systems to service the new subtropical horticultural farming practices, and establishment of new production technologies and marketing systems."
54179-001,COVID-19 Fiscal Response Program,Vanuatu,Sovereign,Grant,Active,0776,12/3/2020,"16,925,000.00",Nation-wide,"Agriculture, natural resources and rural development | Finance | Health | Public sector management",Agricultural production | Small and medium enterprise finance and leasing | Disease control  of communicable disease | Public expenditure and fiscal management | Social protection initiatives,C,C,C,Pacific Department,Ministry of Finance & Economic Management,"Singh, Shiu Raj",
54192-001,COVID-19 Active Response and Expenditure Support Program,Afghanistan,Sovereign,Grant,Closed,0772,12/2/2020,"100,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Health | Industry and trade | Public sector management",Agricultural production | Disease control  of communicable disease | Health system development | Industry and trade sector development | Public expenditure and fiscal management | Social protection initiatives,C,C,C,Central and West Asia Department,,ADB Disclosure,"The CARES program provides budgetary support to meet the development financing needs arising from the government's countercyclical pandemic response measures. The program is aligned with the following impact: adverse impacts of COVID-19 on the population's health, incomes, and economic opportunities as well as macroeconomic stability mitigated. The effect of the reforms is the COVID-19 outbreak more effectively managed and its adverse social and economic impacts reduced. The program has three outputs: (i) the COVID-19 response and health system strengthening measures implemented; (ii) social protection for the poor households expanded; and (iii) affected sectors supported to prevent job losses from the economic downturn. The program is aligned with the ADB's country partnership strategy, 2017-2021 for Afghanistan and the government's development strategy under the Afghanistan National Peace and Development Frameworks (ANPDF I and draft ANPDF II) and Self-Reliance for Mutual Accountability Framework."
53052-001,Hunan Miluo River Disaster Risk Management and Comprehensive Environment Improvement Project,"China, People's Republic of",Sovereign,Loan,Active,4020,11/27/2020,"150,000,000.00","Nation-wide, Pingjiang","Agriculture, natural resources and rural development | Education",Land-based natural resources management | Rural sanitation | Water-based natural resources management | Education sector development,B,C,B,East Asia Department,Pingjiang County Government,"Shen, Xin","The project aims to demonstrate rural vitalization and environmental improvement in Pingjiang County, and contribute to the People Republic of China's (PRC) development goals of inclusive and sustainable growth consistent with (i) the PRC's Thirteenth Five-Year Plan, 2016- 2020, which aims to eradicate extreme poverty and balance development of rural and urban areas; (ii) the Yangtze River Economic Belt (YREB) development plan, 2016-2030 and the rural vitalization strategy, which promotes poverty reduction, rural development, and green and inclusive growth; and (iii) the Asian Development Bank's (ADB) Strategy 2030, and country partnership strategy for the PRC, 2016 2020; and 2021 2025, which both support the development of global and regional public goods and more inclusive development by managing climate change and the environment; building climate and disaster resilience, reducing poverty and inequalities; promoting rural development, improving institutional coordination and governance reform, and knowledge sharing with other developing member countries. This project is also a demonstration of support for the PRC's intended nationally determined contributions, e.g., increasing carbon sinks via wetland restoration, enhancing overall climate resilience.
The project will be aligned with the following impact: rural vitalization in the YREB realized. The outputs listed below will result in the following outcome: rural living environment in Pingjiang County improved.
Output 1: Water-related disaster risk management in Pingjiang County improved. This output includes measures to mitigate impacts of severe flooding and occurrence of landslides and natural hazards in Pingjiang County, including (i) construction of flood embankments and nature-based measures such as ecological wetlands and conservation parks and improvement of degraded areas to maintain bank stability, protect biodiversity, and regulate flooding events; and (ii) establishment of conservation forests and riparian vegetation zones to control water and soil loss and nonpoint source pollution in the Miluo River. These activities will generate employment opportunities for residents, including women.
Output 2: Rural waste and sanitation management in Pingjiang County improved. This output will address environmental degradation through improvements in environmental infrastructure. The output includes improvement of access to and upgrade of solid waste management services and wastewater treatment facilities across 214 township schools, 33 township hospitals, and rural residents through improved county-wide inclusive sanitation which considers the most appropriate and innovative technology and service delivery method, including public private partnerships. 
Output 3: Integrated water resources management planning and decision support capacity enhanced. This output will strengthen the PCG's institutional coordination capacity for environmental and disaster risk management. The output will enhance integrated water resources management planning and decision support capacity across local government agencies through the development of a decision support system. Environmental management information systems will be incorporated in the decision support system to improve institutional coordination for integrated water resources and disaster risk management, asset management, and monitoring and evaluation mechanisms for forests and wetland conservation areas, river water quality and environmental flows (including water supply to downstream areas), and flood early warning. 
Output 4: Green procurement and ecological farming practices piloted. This output involves piloting of (i) green procurement programs in schools, hospitals, and tourism operators to support the development of green supply chains that will reduce environmentally damaging wastes, such as plastic wastes; and encourage recycling and reuse initiatives; (ii) community-based solid waste management training and awareness-raising programs in schools, hospitals, and tourism operators to support green consumption and circular economy principles; and (iii) demonstration farms to be established to showcase sustainable ecological farming best practices, such as adoption of organic fertilizers, integrated pest management, and improved farm waste management, to reduce nonpoint source pollution. Pathways for organic certification of local agribusinesses to support green industries will also be explored in conjunction with identification of downstream markets. Some jobs for residents, including women, will be created during the construction of relevant facilities. 
 
Innovative features will be included in the project design, covering (i) county-wide inclusive sanitation and solid waste collection facilities using best practices with consideration of public private partnership delivery, if appropriate; (ii) nature-based measures such as wetland parks and conservation forests to improve water quality and manage flood risks; and (iii) county-wide integrated water resources and disaster risk management. The experiences and knowledge gained through this project will be deployed in other poor rural areas in the PRC.
The project design will incorporate lessons from international best practices and build on previous ADB-financed projects supporting rural vitalization, such as importance of (i) climate-smart agricultural and ecological farming practices; (ii) decentralized sanitation systems for rural villages; (iii) nature-based solutions to address flooding and other risks from natural hazards; (iv) development, participation, and empowerment of rural communities and rural enterprises; (v) effective institutional coordination and governance arrangements, including the river chief system; (vi) sustainable operation and maintenance; and (vii) monitoring and evaluation systems.
"
50264-002,Agricultural Value Chain Competitiveness and Safety Enhancement Project,Cambodia,Sovereign,Grant | Loan,Active,4013 | 8387 | 8389 | 9216,11/26/2020,"70,000,000.00","Kampong Cham, Kampong Thom, Otar Meanchey, Preah Vihear, Siem Reap, Tboung Khmum","Agriculture, natural resources and rural development | Finance | Transport","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade | Rural market infrastructure | Inclusive finance | Small and medium enterprise finance and leasing | Road transport (non-urban)",B,C,C,Southeast Asia Department,"Ministry of Agriculture, Forestry & Fisheries","Ueda, Takeshi","The project will strengthen value chains of competitive agricultural products (CAPs) cassava, mangoes, cashew nuts, vegetables, and native chicken in the provinces of Kampong Cham, Kampong Thom, Oddar Meanchey, Preah Vihear, Siem Reap, and Tboung Khmum. The project will (i) facilitate access to credit for agro-enterprises and agricultural cooperatives; (ii) promote viable market links among agro-enterprises and agricultural cooperatives, and enhance food safety and quality; and (iii) improve farm-to-market connectivity. The project will benefit 230 agricultural cooperatives (about 27,000 households) and about 50 agribusinesses in the project areas, and the number of beneficiaries will be expanded through intermediary financing."
54346-001,COVID-19 Rapid Response Program,Papua New Guinea,Sovereign,Loan,Closed,4015,11/26/2020,"250,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Finance | Health | Public sector management",Agricultural production | Small and medium enterprise finance and leasing | Disease control  of communicable disease | Health system development | Social protection initiatives,C,C,C,Pacific Department,Department of Treasury,"Faber, Edward",
54432-001,Viet Nam Tropical Storms Response Project,Viet Nam,Sovereign,Grant,Closed,0750,11/6/2020,"2,500,000.00","Quang Ngai Province, Tinh Quang Binh, Tinh Quang Nam, Tinh Quang Tri","Agriculture, natural resources and rural development",Rural flood protection | Rural sanitation,C,C,C,Southeast Asia Department,Ministry of Agriculture and Rural Development,"Pham, Phuc Quang","The Proposed Asia Pacific Disaster Response Fund (APRF) grant funds will be used to fund activities considered eligible as per paragraph 12 of the Asia Pacific Disaster Response Fund Implementation Guidelines, including but not limited to, (a) provision of food and drinking water to ensure food security, (b) support to repair and rebuild damaged and submerged houses, (c) provision of assistance to restore the livelihood activities in agriculture production, (d) support for the prevention of waterborne disease outbreaks, and (e) addressing food shortage and malnutrition."
53365-001,Alternative Renewable Energy Pilot Project,Bhutan,Sovereign,Grant,Active,9211,10/21/2020,0,Nation-wide,"Agriculture, natural resources and rural development | Energy","Agricultural policy, institutional and capacity development | Renewable energy generation - solar",C,C,C,South Asia Department,"Department of Renewable Energy, Ministry of Economic Affairs","Horiguchi, Kazuhiro","The proposed grant will provide reliable and sustainable electricity to the rural households through harnessing solar power which will contribute to poverty reduction, and gender equality. The main objective of the project is to demonstrate the viability of solar power through a pilot project and develop an enabling regulatory framework with due consideration given to the rural poverty."
52025-001,Yunnan Sayu River Basin Rural Water Pollution Management and Eco-Compensation Demonstration Project,"China, People's Republic of",Sovereign,Loan,Active,3983,9/29/2020,"100,000,000.00",Zhaotong,"Agriculture, natural resources and rural development","Agricultural drainage | Forestry | Irrigation | Rural sanitation | Rural solid waste management | Rural water policy, institutional and capacity development | Water-based natural resources management",A,B,A,East Asia Department,Yunnan Provincial Finance Department Division of International Cooperation,"Shen, Xin","The project will improve the condition of water resources and the environment by (i) strengthening wastewater management and pollution control with innovative technologies and arrangements; (ii) improving water resources management with innovative information technologies; (iii) establishing eco-compensation mechanisms; and (iv) strengthening education, capacity, and public awareness for water pollution management. The project is envisaged to (i) play a demonstrative role for rural areas with water pollution; (ii) promote regional public goods by reversing the negative impacts of pollution; and (iii) reduce the risk of future epidemics, which is strongly required after the coronavirus disease (COVID-19) pandemic."
54255-001,COVID-19 Active Response and Expenditure Support Program,Myanmar,Sovereign,Loan,Active,3960,8/21/2020,"250,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Health | Public sector management","Agricultural policy, institutional and capacity development | Disease control  of communicable disease | Health system development | Public expenditure and fiscal management | Social protection initiatives",C,C,C,Southeast Asia Department,"Ministry of Planning, Finance and Industry (formerly Ministry of Planning and Finance)","Chongvilaivan, Aekapol",
53353-001,Competitive and Inclusive Agriculture Development Program (Subprogram 1),Philippines,Sovereign,Loan,Closed,3957,8/12/2020,"400,000,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",C,C,C,Southeast Asia Department,Department of Finance,"Ueda, Takeshi","The program will support the implementation of key policy and institutional reforms, particularly the Rice Tarrification Act and its associated reforms and programs. As the reforms are wide and deep in their impact, it is important that the government will continue to earn support to the reforms from the people of the Philippines."
54310-001,COVID-19 Food Security Emergency Response,Timor-Leste,Sovereign,Grant,Closed,0707,6/18/2020,"1,000,000.00",Nation-wide,Agriculture and Natural Resources,"Agriculture, natural resources and rural development",C,C,C,Southeast Asia Department,Ministry of Agriculture and Fisheries,"Dina, Stefania","The APDRF grant will be used to purchase and distribute nutritious food to the most vulnerable households. Food will be purchased directly from local shops and from farmers who have not been able to sell their products at the markets because of COVID-19 restrictions. The grant will also cover logistics and monitoring costs related to food purchase and distribution. This grant will contribute to ensuring food and nutrition security for the most vulnerable households, boost their immune systems, and prevent social tensions and the further spread of COVID-19. Recognizing the unpredictable nature of the situation, flexibility is required in the design of any support along with close coordination with various sources and partners providing assistance. The government will contract partners such as UN agencies or nongovernment organizations to implement the grant in accordance with the APDRF guidelines"
