Project Name,Project ID,Region,Status,Country,Implementing Agency,Project URL,Year Approved,Current Project Cost,Total IDA and IBRD Commitment,Grant Amount,Borrower,Environmental Assessment Category
"De-risking, inclusion and value enhancement of pastoral economies in the Horn of Africa",P176517,Eastern and Southern Africa,Active,Eastern and Southern Africa,"Kenya Development Corporation, State Department of Livestock of Kenya, Ministry of Trade and Regional Integration of Ethiopia, Ministry of Agriculture of Ethiopia, Federal Republic of Somalia, PTA Reinsurance Company (ZEP-RE), Ministry of Agriculture, Water, Fisheries, Livestock and Maritime Resources of Djibouti",https://projects.worldbank.org/en/projects-operations/project-detail/P176517,2022-06-21T00:00:00Z,432500000,432500000,"33,000,000","Republic of Kenya, Republic of Djibouti, Ministry of Finance of Somalia, PTA Reinsurance Company (ZEP-RE), Federal Democratic Republic of Ethiopia",
Food Systems Resilience Program for Eastern and Southern Africa,P178566,Eastern and Southern Africa,Active,Eastern and Southern Africa,"Ministry of Agriculture and Livestock, Madagascar, Ministry of Agriculture, Ethiopia, IGAD Agriculture and Environmental Division, Center for Coordination of Agricultural Research and Development for Southern Africa (CCARDESA)",https://projects.worldbank.org/en/projects-operations/project-detail/P178566,2022-06-21T00:00:00Z,873600000,873600000,"65,500,000","Intergovernmental Authority on Development (IGAD), Republic of Madagascar, Federal Democratic Republic of Ethiopia, Center for Coordination of Agricultural Research and Development for Southern Africa (CCARDESA)",
Green and Resilient Growth DPC-1,P177712,South Asia,Active,Kingdom of Bhutan,Ministry of Finance,https://projects.worldbank.org/en/projects-operations/project-detail/P177712,2022-06-21T00:00:00Z,0,0,,The Kingdom of Bhutan,
Fisheries Sector COVID-19 Recovery Project,P174798,South Asia,Active,Republic of India,"Department of Fisheries, Ministry of Fisheries, Animal Husbandry and Dairying, National Fisheries Development Board",https://projects.worldbank.org/en/projects-operations/project-detail/P174798,2022-06-17T00:00:00Z,689360000,689360000,"50,000,000",INDIA,
Niger and Mauritania  Additional Financing to PRAPS-2,P178791,Western and Central Africa,Active,Western and Central Africa,"Republic of Chad, Ministry of Livestock and Animal Production, Republic of Senegal, Ministry of Livestock and Animal Production, Islamic Republic of Mauritania, Ministry in charge of Livestock, Burkina Faso, Ministry of Animal Resources and Fisheries, CILSS Permanent Interstate Committee for Drought Control in the Sahel, Republic of Niger, Ministry in charge of Livestock, Republic of Mali, Ministry in charge of Livestock",https://projects.worldbank.org/en/projects-operations/project-detail/P178791,2022-06-17T00:00:00Z,92000000,92000000,,"Republic of Mali, Republic of Niger, Republic of Chad, CILSS Permanent Interstate Committee for Drought Control in the Sahel, Islamic Republic of Mauritania",
Burkina Faso Emergency Local Development and Resilience Project - Additional Financing,P178650,Western and Central Africa,Active,Burkina Faso,Directorate in charge of Territorial Development,https://projects.worldbank.org/en/projects-operations/project-detail/P178650,2022-06-17T00:00:00Z,123000000,123000000,,BURKINA FASO,
Development Response to Displacement Impacts Project in the Horn of Africa Phase II,P178047,Eastern and Southern Africa,Active,Eastern and Southern Africa,Ministry of Agriculture,https://projects.worldbank.org/en/projects-operations/project-detail/P178047,2022-06-17T00:00:00Z,180000000,180000000,,Federal Democratic Republic of Ethiopia,
Smallholder Agricultural Transformation Project,P177305,Eastern and Southern Africa,Active,Republic of Angola,Ministry of Agriculture and Fisheries,https://projects.worldbank.org/en/projects-operations/project-detail/P177305,2022-06-16T00:00:00Z,306000000,306000000,,Republic of Angola,
Communal Climate Action and Landscape Management Project,P170482,Western and Central Africa,Active,Burkina Faso,"Ministry of Environment, Energy, Water and Sanitation",https://projects.worldbank.org/en/projects-operations/project-detail/P170482,2022-06-15T00:00:00Z,125000000,125000000,"12,000,000",Burkina Faso,B
Agriculture Value Chain Development Project (ICARE),P173487,East Asia and Pacific,Active,Republic of Indonesia,Ministry of Agriculture,https://projects.worldbank.org/en/projects-operations/project-detail/P173487,2022-06-09T00:00:00Z,119100000,119100000,,The Republic of Indonesia,C
Emergency Locust Response Program Phase 1 Ethiopia Additional Finance,P178434,Eastern and Southern Africa,Active,Eastern and Southern Africa,"Ethiopia Food Security Coordination Directorate, Ministry of Agriculture, Natural Resources & Food, Kenya Ministry of Agriculture, Livestock, Fisheries and Cooperation, Djibouti Ministry of Agriculture, Water, Livestock and Fish Resources",https://projects.worldbank.org/en/projects-operations/project-detail/P178434,2022-06-07T00:00:00Z,60000000,60000000,,"Republic of Kenya, Republic of Uganda, Republic of Djibouti, Federal Democratic Republic of Ethiopia",
RESILAND CA+ Program: Uzbekistan Resilient Landscapes Restoration Project,P174135,Europe and Central Asia,Active,Central Asia,State Committee on Forestry,https://projects.worldbank.org/en/projects-operations/project-detail/P174135,2022-06-07T00:00:00Z,153000000,153000000,"11,000,000",Republic of Uzbekistan,
Dominica Disaster Risk Management Development Policy Financing  with a Catastrophe Deferred Drawdown Option,P177807,Latin America and Caribbean,Active,Commonwealth of Dominica,Ministry of Finance,https://projects.worldbank.org/en/projects-operations/project-detail/P177807,2022-06-03T00:00:00Z,0,0,,Commonwealth of Dominica,
Program on Sustainable Fishery Development in Red Sea and Gulf of Aden (SFISH),P178143,Middle East and North Africa,Active,Middle East and North Africa,"Regional Organization for the Conservation of the Environment of the Red Sea and Gulf of Aden, United Nations Development Programme",https://projects.worldbank.org/en/projects-operations/project-detail/P178143,2022-06-03T00:00:00Z,45000000,45000000,,"Regional Organization for the Conservation of the Environment of the Red Sea and Gulf of Aden, United Nations Development Programme",
Sierra Leone Land Administration Project,P177031,Western and Central Africa,Active,Republic of Sierra Leone,"Ministry of Lands, Housing and Country Planning",https://projects.worldbank.org/en/projects-operations/project-detail/P177031,2022-06-02T00:00:00Z,41100000,41100000,,Republic of Sierra Leone,
Horn of Africa - Groundwater for Resilience Project,P174867,Eastern and Southern Africa,Active,Eastern and Southern Africa,"Ethiopia - Ministry of Water and Energy (MoWE), Intergovernmental Authority on Development (IGAD), Kenya - The Ministry of Water, Sanitation and Irrigation (MOWSI), Somalia - Ministry of Energy and Water Resource (MoEWR)",https://projects.worldbank.org/en/projects-operations/project-detail/P174867,2022-06-01T00:00:00Z,385000000,385000000,,"Republic of Kenya, Intergovernmental Authority on Development (IGAD), Federal Republic of Somalia, Federal Democratic Republic of Ethiopia",
Solomon Islands: Pacific Islands Regional Oceanscape Program - Second Phase for Economic Resilience,P177239,East Asia and Pacific,Active,Solomon Islands,Ministry of Fisheries and Marine Resources (MFMR),https://projects.worldbank.org/en/projects-operations/project-detail/P177239,2022-06-01T00:00:00Z,13500000,13500000,,Solomon Islands,
Mexico Inclusive and Sustainable Economic Growth DPL,P178224,Latin America and Caribbean,Active,United Mexican States,Ministry of Finance and Public Credit (Secretaría de Hacienda y Crédito Público),https://projects.worldbank.org/en/projects-operations/project-detail/P178224,2022-05-31T00:00:00Z,0,0,,United Mexican States,
Resilient Tourism and Blue Economy Development in Cabo Verde Project,P176981,Western and Central Africa,Active,Republic of Cabo Verde,"Ministry of Culture and Creative Industries and Ministry of the Sea, Ministry of Finance and Business Development, Ministry of Infrastructure,Territorial Planning and Housing, Ministry of Tourism and Transports",https://projects.worldbank.org/en/projects-operations/project-detail/P176981,2022-05-31T00:00:00Z,35000000,35000000,"5,000,000",Republic of Cabo Verde,
Blue Economy Program for Results,P172926,Middle East and North Africa,Active,Kingdom of Morocco,"Moroccan National Tourist Office (ONMT), Moroccan Society of Touristic Engineering, Direction of Ports and Public Maritime Domain, National Agency for the Development of the Aquaculture, National Institute for Fisheries Research (INRH), Department of Maritime Fisheries (DPM), Department of Water and Forests, Ministry of Energy Transition and Sustainable Development",https://projects.worldbank.org/en/projects-operations/project-detail/P172926,2022-05-23T00:00:00Z,2438900000,2438900000,,Ministry of Economy and Finance,
Mangroves for Coastal Resilience Project,P178009,East Asia and Pacific,Active,Republic of Indonesia,"Indonesian Environment Fund (IEF), Ministry of Environment and Forestry, Coordinating Ministry of Maritime and Investment Affairs, Peatland and Mangrove Restoration Agency",https://projects.worldbank.org/en/projects-operations/project-detail/P178009,2022-05-20T00:00:00Z,419000000,419000000,"19,000,000",Republic of Indonesia,
Lebanon: Wheat supply emergency response project,P178866,Middle East and North Africa,Active,Lebanese Republic,Ministry of Economy and Trade,https://projects.worldbank.org/en/projects-operations/project-detail/P178866,2022-05-06T00:00:00Z,150000000,150000000,"15,000,000",The Lebanese Republic,
Emergency Project to Combat the Food Crisis in Cameroon,P177782,Western and Central Africa,Active,Republic of Cameroon,Ministry of Agriculture and Rural Development,https://projects.worldbank.org/en/projects-operations/project-detail/P177782,2022-05-02T00:00:00Z,100000000,100000000,,The Republic of Cameroon,
BR State of Goias Sustainable Recovery DPF,P177632,Latin America and Caribbean,Active,Federative Republic of Brazil,"State Secretariat of Economy (Secretaria Estadual da Economia), State Secretariat of Agriculture and Livestock (SEAPA)",https://projects.worldbank.org/en/projects-operations/project-detail/P177632,2022-04-28T00:00:00Z,0,0,,State of Goiás,
Commercialization and De-Risking for Agricultural Transformation Project,P171462,Eastern and Southern Africa,Active,Republic of Rwanda,"Development Bank of Rwanda, Rwanda Agriculture and Animal Resources Development Board",https://projects.worldbank.org/en/projects-operations/project-detail/P171462,2022-04-15T00:00:00Z,302000000,302000000,,"Ministry of Finance and Economic Planning (MINECOFIN), Republic of Rwanda",
Climate Resilient Water Services Project,P173734,Europe and Central Asia,Active,Kyrgyz Republic,"Department of Construction and Engineering Infrastructure, Water Resource Service (WRS)",https://projects.worldbank.org/en/projects-operations/project-detail/P173734,2022-04-15T00:00:00Z,100000000,100000000,,Ministry of Finance,
Agriculture Resilience and Competitiveness Project,P171266,Europe and Central Asia,Active,Bosnia and Herzegovina,"Ministry of Foreign Trade and Economic Relations of BiH, Ministry of Agriculture, Forestry and Water Management of RS, Ministry of Agriculture, Water Management and Forestry of FBiH",https://projects.worldbank.org/en/projects-operations/project-detail/P171266,2022-04-07T00:00:00Z,68500000,68500000,,Bosnia and Herzegovina,
Green Agricultural and Rural Revitalization Program for Results - Phase I,P177590,East Asia and Pacific,Active,People's Republic of China,"Project Center, Guizhou Provincial Rural Revitalization Administration, Foreign Capital Project Management Center, Guangxi Agriculture and Rural Affairs Department",https://projects.worldbank.org/en/projects-operations/project-detail/P177590,2022-03-31T00:00:00Z,10032000000,10032000000,,PEOPLE'S REPUBLIC OF CHINA,
Yellow River Basin Ecological Protection and Environmental Pollution Control Program,P172806,East Asia and Pacific,Active,People's Republic of China,"Henan Provincial Finance Bureau, Shaanxi Provincial Financial Bureau, Yellow River Conservancy Commission (YRCC), Ministry of Water Resources",https://projects.worldbank.org/en/projects-operations/project-detail/P172806,2022-03-31T00:00:00Z,1520000000,1520000000,,People's Republic of China,
Turkey Climate Smart and Competitive Agricultural Growth Project (TUCSAP),P175011,Europe and Central Asia,Active,Republic of Turkiye,Ministry of Agriculture and Forestry,https://projects.worldbank.org/en/projects-operations/project-detail/P175011,2022-03-30T00:00:00Z,374270000,374270000,,Republic of Turkey,
Pandemic Preparedness and Basic Health Services Delivery Project,P174903,Eastern and Southern Africa,Active,Republic of Madagascar,Ministry of Public Health,https://projects.worldbank.org/en/projects-operations/project-detail/P174903,2022-03-29T00:00:00Z,134900000,134900000,"34,900,000",Republic of Madagascar,
NATIONAL AGRICULTURAL VALUE CHAIN DEVELOPMENT PROJECT (NAVCDP),P176758,Eastern and Southern Africa,Active,Republic of Kenya,"Ministry of Agriculture, Livestock, Fisheries, and Cooperatives",https://projects.worldbank.org/en/projects-operations/project-detail/P176758,2022-03-29T00:00:00Z,275000000,275000000,,The Republic of Kenya,
Angola Strengthening Statistical Capacity,P178043,Eastern and Southern Africa,Active,Republic of Angola,National Institute for Statistics of Angola (INE),https://projects.worldbank.org/en/projects-operations/project-detail/P178043,2022-03-25T00:00:00Z,60000000,60000000,,Republic of Angola,
Resilient and Sustainable Water in Agriculture,P175747,Middle East and North Africa,Active,Kingdom of Morocco,Ministry of Agriculture - Directorate of Irrigation,https://projects.worldbank.org/en/projects-operations/project-detail/P175747,2022-03-25T00:00:00Z,182250000,182250000,,Kingdom of Morocco,
Equitable and Green Recovery DPF,P176788,Latin America and Caribbean,Active,Republic of Colombia,National Planning Department,https://projects.worldbank.org/en/projects-operations/project-detail/P176788,2022-03-24T00:00:00Z,0,0,,Republic of Colombia,
Livestock Productivity and Resilience Support Project,P160865,Western and Central Africa,Active,Federal Republic of Nigeria,Federal Ministry of Agriculture and Rural Development,https://projects.worldbank.org/en/projects-operations/project-detail/P160865,2022-03-18T00:00:00Z,500000000,500000000,,Federal Republic of Nigeria,B
Emergency Resilient Agriculture for Food Security Project,P177072,Latin America and Caribbean,Active,Republic of Haiti,"Ministry of Agriculture, Natural Resources and Rural Development",https://projects.worldbank.org/en/projects-operations/project-detail/P177072,2022-03-17T00:00:00Z,102000000,102000000,,Ministry of Economy and Finance,
Solomon Islands Agriculture and Rural Transformation Project,P173043,East Asia and Pacific,Active,Solomon Islands,Ministry of Agriculture and Livestock,https://projects.worldbank.org/en/projects-operations/project-detail/P173043,2022-03-17T00:00:00Z,15000000,15000000,,Solomon Islands,
Additional Financing to Emergency Locust Response Project,P177843,Eastern and Southern Africa,Active,Eastern and Southern Africa,"Ethiopia Food Security Coordination Directorate, Ministry of Agriculture, Natural Resources & Food, Kenya Ministry of Agriculture, Livestock, Fisheries and Cooperation, Uganda - Office of the Prime Minister, Djibouti Ministry of Agriculture, Water, Livestock and Fish Resources, Uganda - Ministry of Agriculture, Animal Industry and Fisheries",https://projects.worldbank.org/en/projects-operations/project-detail/P177843,2022-03-17T00:00:00Z,35000000,35000000,,"Republic of Kenya, Republic of Uganda, Republic of Djibouti, Federal Democratic Republic of Ethiopia",
Accelerating Reforms for an Inclusive and Resilient Recovery DPF 2,P176903,Eastern and Southern Africa,Active,Republic of Kenya,The National Treasury and Planning,https://projects.worldbank.org/en/projects-operations/project-detail/P176903,2022-03-16T00:00:00Z,0,0,,The Republic of Kenya,
Climate Resilient and Sustainable Agriculture Project,P172592,Latin America and Caribbean,Active,Belize,"Ministry of Agriculture, Food Security, and Enterprise (MAFSE), Ministry of Economic Development",https://projects.worldbank.org/en/projects-operations/project-detail/P172592,2022-03-14T00:00:00Z,45700000,45700000,,BELIZE,
Punjab Urban Land Systems Enhancement Project,P172945,South Asia,Active,Islamic Republic of Pakistan,"Province of Punjab, Board of Revenue",https://projects.worldbank.org/en/projects-operations/project-detail/P172945,2022-03-10T00:00:00Z,150000000,150000000,,Islamic Republic of Pakistan,
Second Regional Economic Development Project,P175587,Europe and Central Asia,Active,Kyrgyz Republic,Community Development and Investment Agency (ARIS),https://projects.worldbank.org/en/projects-operations/project-detail/P175587,2022-03-03T00:00:00Z,50000000,50000000,,Ministry of Finance,B
RESILAND CA+ Program: Tajikistan Resilient Landscape Restoration Project,P171524,Europe and Central Asia,Active,Central Asia,The Committee for Environmental Protection under the Government of the Republic of Tajikistan,https://projects.worldbank.org/en/projects-operations/project-detail/P171524,2022-02-25T00:00:00Z,45000000,45000000,,Republic of Tajikistan,
Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,P175669,Latin America and Caribbean,Active,Argentine Republic,Administracion de Parques Nacionales,https://projects.worldbank.org/en/projects-operations/project-detail/P175669,2022-02-24T00:00:00Z,60000000,60000000,"12,000,000",Argentine Republic,
Land Tenure Improvement Project,P164906,Eastern and Southern Africa,Active,United Republic of Tanzania,"Ministry of Lands, Housing and Human Settlements Development",https://projects.worldbank.org/en/projects-operations/project-detail/P164906,2021-12-21T00:00:00Z,150000000,150000000,,United Republic of Tanzania,
Third Disaster Risk Management Development Policy Loan with a Cat DDO,P176650,Latin America and Caribbean,Active,Republic of Colombia,"Ministry of Finance and Public Credit, National Planning Department",https://projects.worldbank.org/en/projects-operations/project-detail/P176650,2021-12-17T00:00:00Z,0,0,,Republic of Colombia,
Yangtze River Protection and Ecological Restoration Program,P171644,East Asia and Pacific,Active,People's Republic of China,"Jiangxi Provincial Finance Department, Hunan Provincial Finance Department, Hunan Development and Reform Commission, Jiangxi Provincial Development and Reform Commission  , Changjiang Water Resources Commission",https://projects.worldbank.org/en/projects-operations/project-detail/P171644,2021-12-17T00:00:00Z,13052000000,13052000000,,People’s Republic of China,
Seychelles First Fiscal Sustainability and Climate Resilience Development Policy Financing,P176420,Eastern and Southern Africa,Active,Republic of Seychelles,"MINISTRY OF FINANCE, ECONOMIC PLANNING AND TRADE",https://projects.worldbank.org/en/projects-operations/project-detail/P176420,2021-12-16T00:00:00Z,0,0,,The Republic of Seychelles,
Accelerating Uzbekistan's Transition Development Policy Operation,P176353,Europe and Central Asia,Active,Republic of Uzbekistan,Ministry of Finance,https://projects.worldbank.org/en/projects-operations/project-detail/P176353,2021-12-16T00:00:00Z,0,0,,Republic of Uzbekistan,
Agro-Climatic Resilience in Semi-Arid Landscapes (ACReSAL),P175237,Western and Central Africa,Active,Federal Republic of Nigeria,Federal Ministry of Environment,https://projects.worldbank.org/en/projects-operations/project-detail/P175237,2021-12-14T00:00:00Z,700000000,700000000,,The Federal Republic of Nigeria,
Rejuvenating Watersheds for Agricultural Resilience through Innovative Development,P172187,South Asia,Active,Republic of India,"Karnataka Department of of Agriculture, Department of Land Resources, Odisha Department of Agriculture",https://projects.worldbank.org/en/projects-operations/project-detail/P172187,2021-12-10T00:00:00Z,410960000,410960000,,India,
Climate Intelligent and Inclusive Agri-food Systems Project,P176905,Latin America and Caribbean,Active,Argentine Republic,Dirección General de Programas y Proyectos Sectoriales y Especiales (DIPROSE),https://projects.worldbank.org/en/projects-operations/project-detail/P176905,2021-12-09T00:00:00Z,550000000,550000000,,Argentine Republic,
Cabo Verde: First Sustainable and Equitable Recovery DPF,P174754,Western and Central Africa,Active,Republic of Cabo Verde,Ministry of Finances,https://projects.worldbank.org/en/projects-operations/project-detail/P174754,2021-12-06T00:00:00Z,0,0,,Cabo Verde,
"Burkina Faso Third Fiscal Management, Sustainable Growth, and Service Delivery Development Policy Financing",P173529,Western and Central Africa,Active,Burkina Faso,"MINISTERE DE L'ECONOMIE, DES FINANCES ET DU DEVELOPPEMENT",https://projects.worldbank.org/en/projects-operations/project-detail/P173529,2021-12-06T00:00:00Z,0,0,,BURKINA FASO,
Valorization of Investments in the Valley of the Logone,P168772,Western and Central Africa,Active,Republic of Cameroon,"Ministry of Agriculture and Rural Development (MINADER), Société d’Expansion et Modernisation de la Riziculture de Yagoua (SEMRY)",https://projects.worldbank.org/en/projects-operations/project-detail/P168772,2021-11-30T00:00:00Z,217400000,217400000,,Republic of Cameroon,A
Uruguay Agro-Ecological and Climate Resilient Systems Project,P176232,Latin America and Caribbean,Active,Oriental Republic of Uruguay,"Ministry of Livestock, Agriculture and Fisheries (MGAP)",https://projects.worldbank.org/en/projects-operations/project-detail/P176232,2021-11-30T00:00:00Z,52500000,52500000,,Oriental Republic of Uruguay,
Gambia Inclusive and Resilient Agricultural Value Chain Development Project (GIRAV),P173070,Western and Central Africa,Active,Republic of The Gambia,Ministry of Agriculture,https://projects.worldbank.org/en/projects-operations/project-detail/P173070,2021-11-24T00:00:00Z,47890000,47890000,,Republic of The Gambia,
West Africa Food System Resilience Program (FSRP),P172769,Western and Central Africa,Active,Western and Central Africa,"Ministry of Agriculture - Niger, Ministry of Agriculture, Hydro-Agricultural Developments and Mechanization  - Burkina Faso, Ministry of Rural Development - Mali, Ministry of Agriculture, Livestock and Rural Development - Togo",https://projects.worldbank.org/en/projects-operations/project-detail/P172769,2021-11-18T00:00:00Z,401000000,401000000,"24,000,000","Republic of Mali, Republic of Togo, CILSS, Republic of Burkina Faso, Republic of Niger, ECOWAS, CORAF",
Fourth Disaster Risk Management Development Policy Loan with a Catastrophe-Deferred Drawdown Option,P177125,East Asia and Pacific,Active,Republic of the Philippines,Department of Finance,https://projects.worldbank.org/en/projects-operations/project-detail/P177125,2021-11-17T00:00:00Z,0,0,,Republic of the Philippines,
Mali Rural Mobility and Connectivity - Additional Financing,P176775,Western and Central Africa,Active,Republic of Mali,Minister of Equipment and Accessibility,https://projects.worldbank.org/en/projects-operations/project-detail/P176775,2021-09-30T00:00:00Z,30000000,30000000,,REPUBLIC OF MALI,
Niger Integrated Water Security Platform Project (Niger-IWSP Project),P174414,Western and Central Africa,Active,Republic of Niger,"Ministère de l’Hydraulique et de l’Assainissement (Ministry of Water and Sanitation), Ministère de l’Elevage (Ministry of Livestock), Prime Minister Cabinet, Société de Patrimoine des Eau du Niger (Niger Water Asset Holding Company), Ministère de l’Agriculture (Ministry of Agriculture)",https://projects.worldbank.org/en/projects-operations/project-detail/P174414,2021-09-30T00:00:00Z,400000000,400000000,,Republic of Niger,
Liberia Sustainable Management of Fisheries Project,P172012,Western and Central Africa,Active,Republic of Liberia,National Fisheries and Aquaculture Authority,https://projects.worldbank.org/en/projects-operations/project-detail/P172012,2021-09-22T00:00:00Z,40000000,40000000,,Republic of Liberia,
Enhancing Systematic Land Registration Project,P169669,East Asia and Pacific,Active,Lao People's Democratic Republic,Ministry of Natural Resources and Environment,https://projects.worldbank.org/en/projects-operations/project-detail/P169669,2021-09-02T00:00:00Z,31375000,31375000,"6,380,000",Lao People's Democratic Republic,
Landscape Restoration and Ecosystem Management for Sustainable Food Systems Project  GE,P171933,Western and Central Africa,Active,Republic of Ghana,"Environmental Protection Agency, Ministry of Lands and Natural Resources",https://projects.worldbank.org/en/projects-operations/project-detail/P171933,2021-08-30T00:00:00Z,103356881,103356881,"15,600,000",The Republic of Ghana,
Climate Resilient Agriculture and Productivity Enhancement Project (PROPAD) – Additional Financing,P175614,Western and Central Africa,Active,Republic of Chad,"Ministry of Agriculture, Irrigation and Agricultural Equipment, West and Central African Council for Agricultural Research and Development (CORAF/WECARD)",https://projects.worldbank.org/en/projects-operations/project-detail/P175614,2021-08-06T00:00:00Z,15000000,15000000,,Republic of Chad,
